Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
GENC,Gencor Industries Inc.,17.6,253469673.6,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/genc
GNCMA,General Communication; Inc.,40.44,1459924440,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/gncma
GFN,General Finance Corporation,5.95,158390118.6,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/gfn
GFNCP,General Finance Corporation,101,0,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/gfncp
GFNSL,General Finance Corporation,24.7287,0,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/gfnsl
GENE,Genetic Technologies Ltd,0.7998,10558812.44,13201816,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gene
GNUS,Genius Brands International; Inc.,3.31,19655120.93,n/a,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/gnus
GNMK,GenMark Diagnostics; Inc.,4.94,270057040,n/a,2010,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/gnmk
GNCA,Genocea Biosciences; Inc.,1.16,33296830.24,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnca
GHDX,Genomic Health; Inc.,29.16,1010264763,n/a,2005,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ghdx
GNST,GenSight Biologics S.A.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gnst
GNTX,Gentex Corporation,18.655,5296207555,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/gntx
THRM,Gentherm Inc,34.25,1256308084,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/thrm
GEOS,Geospace Technologies Corporation,14.75,198233598.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/geos
GABC,German American Bancorp; Inc.,34.47,790397686,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gabc
GERN,Geron Corporation,2.05,326425218.7,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gern
GEVO,Gevo; Inc.,0.6302,13745009.87,n/a,2011,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gevo
ROCK,Gibraltar Industries; Inc.,30.5,966488697,n/a,1993,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/rock
GIGM,GigaMedia Limited,3.13,34593495.55,n/a,n/a,Technology,Computer Software: Programming; Data Processing,http://www.nasdaq.com/symbol/gigm
GIII,G-III Apparel Group; LTD.,25.22,1229681426,n/a,1989,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/giii
GILT,Gilat Satellite Networks Ltd.,7.75,423543444.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/gilt
GILD,Gilead Sciences; Inc.,73.77,96363463835,n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild
GBCI,Glacier Bancorp; Inc.,36.065,2813320868,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gbci
